Ex max (nm),Em max (nm),Stokes Shift (nm),Extinction Coefficient,Quantum Yield,Brightness
500.0,514.0,25.0,65000.0,0.48,22.79
488.0,500.0,12.0,65000.0,0.48,22.79
500.0,510.0,10.0,65000.0,0.48,22.79
485.0,535.0,50.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
571.0,514.0,25.0,65000.0,0.48,22.79
588.0,620.0,32.0,65000.0,0.33,22.79
496.0,505.0,9.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
505.0,524.0,19.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
551.0,579.0,28.0,65000.0,0.48,22.79
573.0,593.0,20.0,65000.0,0.48,22.79
503.0,512.0,9.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
416.0,622.0,206.0,65000.0,0.48,22.79
560.0,618.0,58.0,65000.0,0.35,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
556.0,582.0,26.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
436.0,482.0,46.0,65000.0,0.48,22.79
583.0,514.0,25.0,65000.0,0.48,22.79
506.0,514.0,8.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
498.0,509.0,11.0,65000.0,0.48,22.79
489.0,509.0,20.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
